s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
8.185461945767134040e+00,-1.376159405081184728e+00,-1.743539426249978774e+01,2.863032078610377340e+00,-4.736581653908465417e-01,4.854378767000941508e+00,3.656885227062261490e-01
8.385107359078528333e+00,-1.439379891661359157e+00,-1.762397731640967180e+01,2.775352251416515870e+00,-4.094822006293508121e-01,4.869395166345345416e+00,1.815275584282953991e+00
8.584752772389920850e+00,-1.518310421151796374e+00,-1.780792074722402063e+01,2.699071233608189679e+00,-3.493275493768367990e-01,4.943261289333583441e+00,2.973867256969196404e+00
8.784398185701315143e+00,-1.609524501571372168e+00,-1.798533428756979546e+01,2.636764103257341230e+00,-2.762867527223989983e-01,5.061943311607270957e+00,4.406794282579910238e+00
8.984043599012707659e+00,-1.710642500835661606e+00,-1.815786193373401503e+01,2.588592363600059176e+00,-2.023106852304720482e-01,5.232863711370046467e+00,4.750878423360149760e+00
9.183689012324101952e+00,-1.818495485405885237e+00,-1.832593815388040071e+01,2.556241896451561413e+00,-1.219849029328688717e-01,5.411085361978807740e+00,4.712837337006249072e+00
9.383334425635494469e+00,-1.930634039839256300e+00,-1.849165591549805399e+01,2.539772293759409827e+00,-4.271940654279773181e-02,5.582260967623539294e+00,4.675100852059087764e+00
9.582979838946888762e+00,-2.043808912351040341e+00,-1.865587622058909645e+01,2.539274054105228107e+00,3.841626896356285792e-02,5.747030745908434213e+00,4.637666529523723824e+00
9.782625252258283055e+00,-2.156341584384839472e+00,-1.882181648104058524e+01,2.554411861991985333e+00,1.099432247607082941e-01,5.905941084754505077e+00,2.598425975018938239e+00
9.982270665569675572e+00,-2.264118298828512899e+00,-1.898852847070256544e+01,2.583417411858542678e+00,1.838526915541328077e-01,5.993135052047021460e+00,-4.827003512204714575e+00
1.018191607888106986e+01,-2.367275021143601332e+00,-1.916136050049668782e+01,2.625106298839593677e+00,2.310842316919402284e-01,5.830119169414579972e+00,-3.700318541648110138e+00
1.038156149219246238e+01,-2.461244612893942030e+00,-1.933680132562553666e+01,2.676222386108540796e+00,2.753278589676340093e-01,5.701998446186481218e+00,-3.489482211104891984e+00
1.058120690550385667e+01,-2.545989915331454245e+00,-1.951809015788835922e+01,2.733011578864677382e+00,2.935323727128855142e-01,5.578482593300392089e+00,-3.421797545183784983e+00
1.078085231881524919e+01,-2.620072259541143644e+00,-1.970424723806896239e+01,2.792408160545568840e+00,2.875330235030482129e-01,5.454647163053097714e+00,-3.895193989046639604e+00
1.098049773212664348e+01,-2.682543568636465370e+00,-1.989170867082198768e+01,2.846482651105512129e+00,2.588542853968861523e-01,5.310165764423994794e+00,-5.088092851343577472e+00
1.118014314543803778e+01,-2.736157430326630724e+00,-2.008510027243893603e+01,2.894284473519324941e+00,2.127695140952733099e-01,5.115293896259939466e+00,-6.786176868316185384e+00
1.137978855874943029e+01,-2.780910511944173269e+00,-2.027874819247768912e+01,2.935902991964010944e+00,2.423290413553564615e-01,4.843198682044313585e+00,-5.538642384745001479e+00
1.157943397206082459e+01,-2.816293025551452001e+00,-2.047450850908805009e+01,2.992312031215424994e+00,3.241882897031683197e-01,4.609234684585169717e+00,-4.452972000616312265e+00
1.177907938537221710e+01,-2.839002324020647894e+00,-2.067273895072825241e+01,3.065531599321364542e+00,4.077363630336665046e-01,4.412143867387908536e+00,-3.596216108845517123e+00
