# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6300,-1.5600,0.6500,0.6500
0.6300,-1.6100,0.6500,0.6500
0.6300,-1.6600,0.6500,0.6500
0.6300,-1.7100,0.6500,0.6500
0.6300,-1.7600,0.6500,0.6500
0.6300,-1.8100,0.6500,0.6500
0.6300,-1.8600,0.6500,0.6500
0.6300,-1.9100,0.6500,0.6500
0.6300,-1.9600,0.6500,0.6500
0.6300,-2.0100,0.6500,0.6500
0.6300,-2.0600,0.6500,0.6500
0.6300,-2.1100,0.6500,0.6500
0.6300,-2.1600,0.6500,0.6500
0.6300,-2.2100,0.6500,0.6500
0.6300,-2.2600,0.6500,0.6500
0.6300,-2.3100,0.6500,0.6500
0.5800,-2.3600,0.6801,0.6801
0.5800,-2.4100,0.6964,0.6964
0.5800,-2.4600,0.7000,0.7000
0.5800,-2.5100,0.7000,0.7000
0.5800,-2.5600,0.7000,0.7000
0.5800,-2.6100,0.7000,0.7000
0.5800,-2.6600,0.7000,0.7000
0.5800,-2.7100,0.7018,0.7018
0.5800,-2.7600,0.7071,0.7071
0.5800,-2.8100,0.7159,0.7159
0.5800,-2.8600,0.7280,0.7280
0.5300,-2.9100,0.7500,0.7500
0.5300,-2.9600,0.7500,0.7500
0.5300,-3.0100,0.7500,0.7500
0.5300,-3.0600,0.7500,0.7500
0.5300,-3.1100,0.7500,0.7500
0.5300,-3.1600,0.7500,0.7500
0.5300,-3.2100,0.7500,0.7500
0.5300,-3.2600,0.7500,0.7500
0.5300,-3.3100,0.7517,0.7517
0.5300,-3.3600,0.7566,0.7566
0.5300,-3.4100,0.7649,0.7649
0.5300,-3.4600,0.7762,0.7762
0.5300,-3.5100,0.7906,0.7906
0.5300,-3.5600,0.8000,0.8000
0.5300,-3.6100,0.8016,0.8016
0.5300,-3.6600,0.8062,0.8062
0.5300,-3.7100,0.8139,0.8139
0.5300,-3.7600,0.8246,0.8246
0.5300,-3.8100,0.8382,0.8382
0.5300,-3.8600,0.8500,0.8500
0.5300,-3.9100,0.8500,0.8500
0.5300,-3.9600,0.8515,0.8515
0.5300,-4.0100,0.8500,0.8500
0.5300,-4.0600,0.8500,0.8500
0.5300,-4.1100,0.8500,0.8500
0.5300,-4.1600,0.8500,0.8500
0.5300,-4.2100,0.8500,0.8500
0.4800,-4.2600,0.8500,0.8500
0.4800,-4.3100,0.8515,0.8515
0.4800,-4.3600,0.8559,0.8559
0.4800,-4.4100,0.8631,0.8631
0.4800,-4.4600,0.8732,0.8732
0.4800,-4.5100,0.8860,0.8860
0.4800,-4.5600,0.8732,0.8732
0.4300,-4.6100,0.8515,0.8515
0.4300,-4.6600,0.8559,0.8559
0.4300,-4.7100,0.8631,0.8631
0.4300,-4.7600,0.8732,0.8732
0.4300,-4.8100,0.8860,0.8860
0.4300,-4.8600,0.8860,0.8860
0.4300,-4.9100,0.8732,0.8732
0.4300,-4.9600,0.8631,0.8631
0.4300,-5.0100,0.8559,0.8559
0.4300,-5.0600,0.8515,0.8515
0.4300,-5.1100,0.8500,0.8500
0.4300,-5.1600,0.8500,0.8500
0.4300,-5.2100,0.8500,0.8500
0.4300,-5.2600,0.8500,0.8500
0.3800,-5.3100,0.9000,0.9000
0.3800,-5.3600,0.9000,0.9000
0.3800,-5.4100,0.9000,0.9000
0.3300,-5.4600,0.9014,0.9014
0.3300,-5.5100,0.9124,0.9124
0.3300,-5.5600,0.9220,0.9220
0.3300,-5.6100,0.9341,0.9341
0.3300,-5.6600,0.9487,0.9487
0.3300,-5.7100,0.9487,0.9487
0.3300,-5.7600,0.9341,0.9341
